word,part_of_speech,definition,example
ostentatious,adjective,,"She greeted us with an ostentatious air kiss."
ostentatious,adjective,,"The hotel lobby was decorated with ostentatious chandeliers."
ostentatious,adjective,,"They criticized the ostentatious lifestyle of their leaders."
ostentatious,adjective,"Too obviously showing your money, possessions, or power, in an attempt to make other people notice and admire you.",
pedagogical,adjective,,"Her pedagogical skills made her an effective teacher."
pedagogical,adjective,,"The book offers valuable pedagogical insights for language teachers."
pedagogical,adjective,,"The professor's pedagogical style encouraged critical thinking among students."
pedagogical,adjective,,"The training program emphasized the importance of pedagogical knowledge."
profligate,adjective,,"He was known for his profligate spending habits."
profligate,adjective,,"Her profligate behavior ultimately led to her downfall."
profligate,adjective,,"The profligate use of natural resources is a concern."
profligate,adjective,,"They led a profligate lifestyle, constantly indulging in luxury."
putative,adjective,,"His putative authority over the staff was constantly questioned."
putative,adjective,,"No one believed his putative claims of being a millionaire."
putative,adjective,,"The putative culprit of the crime was later proven innocent."
pyrrhic victory,noun,,"Despite winning the battle, the army suffered such heavy losses that it was considered a pyrrhic victory"
pyrrhic victory,noun,,"She won the court case, but it was a Pyrrhic victory because she had to pay so much in legal fees."
pyrrhic victory,noun,"A victory gained at such a cost to the victor that it is tantamount to defeat",
quintessential,adjective,,"He is the quintessential gentleman, always polite and well-dressed."
quintessential,adjective,,"The Eiffel Tower is considered the quintessential symbol of Paris."
quintessential,adjective,,"The film is the quintessential example of a romantic comedy."
quixotic,adjective,,"He had a quixotic dream of becoming a professional race car driver."
quixotic,adjective,,"SomHer quixotic plan to solve world hunger involved growing food on Mars."
quixotic,adjective,,"The politician's quixotic promises of instant prosperity convinced many voters."
sanctimony,noun,,"He spoke with such sanctimony that it was hard to take him seriously."
sanctimony,noun,,"The author's sanctimony came through in his writing, criticizing society's shortcomings."
sanctimony,noun,,"The politician's sanctimonious speeches were met with skepticism."
trite,adjective,,"The speaker offered disappointingly trite sentiments about embracing each challenge as an opportunity."
trite,adjective,,"This view seems almost trite today, but in the 1960's it was insurgent."
vehement,adjective,,"He issued a vehement denial of the accusation."
vehement,adjective,,"She was vehement about the need for new safety measures."
vehement,adjective,,"The proposal has faced vehement opposition from many teachers."
vivacious,noun,,"Her vivaciousness shines through in every conversation she has."
vivacious,noun,,"She is a vivacious and energetic performer on stage."
vivacious,noun,,"The little girl had a vivacious personality that charmed everyone she met."
voracious,adjective,,"He is known for his voracious pursuit of knowledge."
voracious,adjective,,"Her voracity for knowledge led her to read countless books."
voracious,adjective,,"The voracious storm destroyed everything in its path."
zealous,adjective,,"Any over-zealous methods to speed things up can backfire in the long run."
zealous,adjective,,"On and off the field, soccer, the world’s most popular sport, ignites zealous passions. "
zealous,adjective,,"The detective was zealous in her pursuit of the kidnappers."
