word,phonetic
absent,"/æbˈsɛnt/"
absenteeism,"/æb.sənˈtiːˌɪz.m̩/"
absently,"/ˈæb.sn̩t.li/"
absolute,"/ˈæb.səˌljuːt/"
absolutely,"/æb.səˈl(j)uːt.lɪ/"
absolution,"/æb.səˈljuː.ʃn̩/"
absolutism,"/ˈæb.sə.ljuː.tɪz.m̩/"
absolutist,"/ˈæb.səˌljuː.tɪst/"
absolve,"/əbˈzɒlv/"
absorb,"/əbˈsɔːb/"
absorbed,"/æbˈsɔɹbd/"
absorbent,"/əbˈsɔː.bn̩t/"
absorber,"/æbˈsɔɹ.bɚ/"
absorbing,"/əbˈsɔː.bɪŋ/"
absorption,"/əbˈsɔːp.ʃn̩/"
absorptive,"/æbˈsɔɹp.tɪv/"
absorptivity,"/æbˌsɔɹpˈtɪvə.ti/"
abstain,"/əbˈsteɪn/"
abstemious,"/æbˈstiː.mɪ.əs/"
abstention,"/əbˈstɛn.ʃn̩/"
abstinence,"/ˈæb.stɪ.nəns/"
abstinent,"/ˈæb.stə.nn̩t/"
abstract,"/ˈæbˌstɹækt/"
abstracted,"/əb.ˈstɹæk.tɪd/"
abstraction,"/əbˈstɹæk.ʃn̩/"
abstruse,"/əbˈstɹuːs/"
absurd,"/æbˈzɝd/"
absurdist,"/əbˈsɜːd.əst/"
absurdity,"/əbˈsɜːd.ɪ.ti/"
absurdly,"/əbˈsɜːd.li/"
abundance,"/əˈbʌn.dn̩s/"
abundant,"/əˈbʌn.dn̩t/"
abundantly,"/əˈbʌn.dn̩t.li/"
abuse,"/əˈbjuːs/"
abuse,"/əˈbjuːz/"
abuser,"/əˈbjuː.zɚ/"
abuses,"/əˈbjuːsɪz/"
abusive,"/əˈbjuː.sɪv/"
abut,"/əˈbʌt/"
abutment,"/əˈbʌt.mn̩t/"
abutting,"/əˈbʌt.ɪŋ/"
abuzz,"/əˈbʌz/"
abysmal,"/əˈbɪz.məl/"
abysmally,"/əˈbɪz.ml̩.i/"
abyss,"/əˈbɪs/"
abyssal,"/əˈbɪs.l̩/"
acacia,"/əˈkeɪ.sjə/"
academe,"/ˈæk.ə.diːm/"
academia,"/ˌæ.kəˈdiː.mɪ.ə/"
academic,"/ˌækəˈdɛmɪk/"
academical,"/ˌæk.əˈdɛm.ɪ.kl̩/"
academically,"/ˌæk.əˈdɛm.ɪk.li/"
academician,"/əˌka.dəˈmɪʃ.n̩/"
academics,"/ˌækəˈdɛmɪks/"
academies,"/əˈkædəmiz/"
academy,"/əˈkæd.ə.mi/"
acanthus,"/əˈkæn.θəs/"
accede,"/əkˈsiːd/"
accelerate,"/æk.ˈsɛl.ə.ˌɹeɪt/"
acceleration,"/æk.ˌsɛl.ə.ˈɹeɪ.ʃən/"
accelerator,"/æk.ˈsɛl.ə.ˌɹeɪ.tɚ/"
accelerometer,"/æk.ˌsɛl.ə.ˈɹɑm.ə.tɚ/"
accent,"/ˈak.sənt/"
accent,"/ækˈsɛnt/"
accents,"/ˈæk.sɛnts/"
accentuation,"/ˌæk.ˌsɛn.tʃə.ˈweɪ.ʃən/"
accept,"/ækˈsɛpt/"
acceptable,"/æk.ˈsɛp.tə.bəl/"
acceptably,"/æk.ˈsɛp.tə.bli/"
accepted,"/æk.ˈsɛp.tɪd/"
accepting,"/əkˈsɛptɪŋ/"
acceptor,"/əkˈsɛptə(ɹ)/"
accepts,"/əkˈsɛpts/"
access,"/ˈæksɛs/"
accessibility,"/ækˌsɛs.əˈbɪl.ət.i/"
accession,"/æk.ˈsɛ.ʃən/"
accessory,"/ækˈsɛs(ə)ɹi/"
accidence,"/ˈæk.sə.dəns/"
accident,"/ˈæk.sə.dənt/"
accidental,"/ˌæk.sɪ.ˈdɛn.tl̩/"
accidentally,"/ˌæksəˈdɛnt(ə)li/"
acclaimed,"/əˈkleɪmd/"
acclaims,"/əˈkleɪmz/"
accolade,"/ˈæk.ə.ˌleɪd/"
accommodate,"/əˈkɒməˌdeɪt/"
accommodating,"/ə.ˈkɒm.ə.ˌdeɪ.tɪŋ/"
accommodation,"/ə.ˌkɒm.ə.ˈdeɪ.ʃən/"
accompanied,"/əˈkʌmpnid/"
accompaniment,"/ə.ˈkʌm.pə.ni.mənt/"
accompanist,"/əˈ.kʌm.pə.nɪst/"
accompany,"/ə.ˈkʌm.pə.ni/"
accompanying,"/əˈkʌm.p(ə.)ni.ɪŋ/"
accomplice,"/ə.ˈkʌm.plɪs/"
accomplish,"/əˈkɐm.plɪʃ/"
accomplished,"/ə.ˈkɒm.plɪʃt/"
accomplishment,"/ə.ˈkʌm.plɪʃ.mənt/"
accomplishments,"/ə.ˈkʌm.plɪʃ.mənts/"
accordance,"/ə.ˈkɔɹd.əns/"
accorded,"/əˈkɔːdɪd/"
according,"/əˈkɔːdɪŋ/"
accordingly,"/əˈkɔː(ɹ).dɪŋ.li/"
accordion,"/əˈkɔ(ɹ).di.ˌən/"
accost,"/ə.ˈkɑst/"
account,"/ə.ˈkaʊnt/"
accountable,"/ə.ˈkaʊn.tə.bəl/"
accountancy,"/ə.ˈkaʊnt.ən.si/"
accountant,"/ə.ˈkæʊn.(t)ən̩(t)/"
accounted,"/əˈkaʊntɪd/"
accounting,"/ə.ˈkaʊn.tɪŋ/"
accounts,"/əˈkaʊnts/"
accredit,"/ə.ˈkɹɛd.ɪt/"
accreditation,"[əˌkɹɛd.ɪˈteɪ.ʃən]"
accrediting,"/əˈkɹɛdɪtɪŋ/"
accredits,"/əˈkɹɛdɪts/"
accretion,"/ə.ˈkɹi.ʃən/"
accrual,"/əˈkɹuːəl/"
accrued,"/əˈkɹuːd/"
accrues,"/əˈkɹuːz/"
accruing,"/əˈkɹuːɪŋ/"
accumulate,"/əˈkjuːmjʊˌleɪt/"
accumulated,"/əˈkjuːmjʊleɪtɪd/"
accumulation,"/ə.ˌkjuːm.jə.ˈleɪ.ʃən/"
accumulative,"/ə.ˈkjum.jə.ˌleɪ.tɪv/"
accumulator,"/ə.ˈkjum.jə.ˌleɪ.tɚ/"
accuracy,"[ˈækjʊrəsɪ]"
accurate,"/ˈæk.jə.ɹɪt/"
accurately,"/ˈæk.jə.ɹɪt.li/"
accursed,"/əˈkɜː.sɪd/"
accusal,"/əˈkju.zəl/"
accusation,"/ˌæk.jə.ˈzeɪ.ʃən/"
accusative,"/əˈkjuːzətɪv/"
accusatory,"/ə.ˈkju.zə.ˌtɔɹ.i/"
accuse,"/əˈkjuːz/"
accused,"/ə.ˈkjuzd/"
accuser,"/əˑˈkjuː.zə/"
accuses,"/əˈkjuːzɪz/"
accusing,"/əˈkjuːzɪŋ/"
accustomed,"/ə.ˈkʌs.təmd/"
ace,"/eɪs/"
aced,"/eɪst/"
acerbic,"/əˈsɜː(ɹ)bɪk/"
acerbity,"/əˈsɜːbɪti/"
aces,"/ˈeɪ.sɪz/"
acetal,"/ˈæsɪˌtæl/"
acetone,"/ˈæ.sə.toʊn/"
acetylene,"/ə ˈsɛt əl ˌin/"
ache,"/eɪk/"
ache,"/eɪt͡ʃ/"
ached,"/eɪkt/"
aches,"/eɪks/"
achievable,"/əˈtʃivəbəl/"
achieve,"/əˈtʃiːv/"
achieved,"/əˈtʃiːvd/"
achievement,"/əˈtʃiːvmənt/"
achievements,"/əˈt͡ʃiːvmənts/"
achieves,"/əˈtʃiːvz/"
achieving,"/əˈtʃiːvɪŋ/"
aching,"/ˈeɪ.kɪŋ/"
achromatic,"/ˌækɹəʊˈmæt.ɪk/"
achy,"/eɪ.ki/"
acid,"/ˈæs.ɪd/"
acidic,"/əˈsɪdɪk/"
acidification,"/əˌsɪdɪfɪˈkeɪʃən/"
acidity,"/əˈsɪdɪti/"
acids,"/ˈæ.sɪdz/"
acknowledge,"/əkˈnɒ.lɪdʒ/"
acknowledgment,"/əkˈnɒl.ɪd͡ʒ.mənt/"
acme,"/ˈæk.mi/"
acne,"/ˈæk.ni/"
acolyte,"/ˈæ.kə.laɪt/"
aconite,"/ˈæ.kə.naɪt/"
acorn,"/ˈeɪ.kɔːn/"
acoustic,"/əˈkuːstɪk/"
acoustics,"/əˈkuːstɪks/"
acquaint,"/əˈkweɪnt/"
acquaintance,"/əˈkweɪntəns/"
acquainted,"/əˈkwæɪntəd/"
acquiesce,"/ˌækwiˈɛs/"
acquiescence,"/ˈæk.wiːˌɛs.əns/"
acquiescent,"/æˈkwi.ɛsn̩t/"
acquire,"/əˈkwaɪə/"
acquired,"/əˈkwaɪəd/"
acquiring,"/əˈkwaɪ(ə)ɹɪŋ/"
acquisition,"/æ.kwɪ.ˈzɪ.ʃən/"
acquits,"/əˈkwɪts/"
acquittal,"/əˈkwɪ.t(ə)l/"
acquittance,"/əˈkwɪtəns/"
acre,"/ˈeɪ.kə/"
acreage,"/ˈeɪk(ə)ɹɪd͡ʒ/"
acres,"/ˈeɪ.kəz/"
acrid,"/ˈæk.ɹɪd/"
acrobat,"/ˈæk.ɹə.bæt/"
acronym,"/ˈæk.ɹə.nɪm/"
acronyms,"/ˈæ.kɹə.nɪmz/"
across,"/əˈkɹɑs/"
acrostic,"/əˈkɹɑstɪk/"
acrylic,"/ə.ˈkɹɪ.lɪk/"
acrylics,"/əˈkɹɪlɪks/"
act,"/æk/"
acted,"/ˈæk.tɪd/"
acting,"/ˈæk.tɪŋ/"
action,"/ˈæk.ʃən/"
actionable,"/ˈæk.ʃə.nə.bəl/"
actions,"/ˈæk.ʃənz/"
activate,"/ˈæktɪˌveɪt/"
activation,"/æktɪˈveɪʃən/"
active,"/ˈæk.tɪv/"
activism,"/ˈæk.tɪ.vɪ.zəm̩/"
activist,"/ˈæk.tɪ.vɪst/"
activities,"/ækˈtɪ.vɪ.tiz/"
activity,"/ækˈtɪ.və.ti/"
actor,"/ˈæk.tə/"
actress,"/ˈak.tɹəs/"
acts,"/æks/"
actual,"/ˈak(t)ʃj(ʊ)əl/"
actuality,"/ˌæktjuˈælɪti/"
actually,"/-ɪ/"
actuarial,"/æk.tjuˈɛəɹ.i.əl/"
actuator,"/ˈæk.tjuː.eɪt.ə(ɹ)/"
acuity,"/əˈkjuːɪti/"
acumen,"/əˈkjuːmən/"
acupuncture,"/ˈæ.kju.ˌpʌŋk.t͡ʃɝ/"
adage,"/ˈæ.dɪdʒ/"
adamant,"/ˈæ.də.mænt/"
adapt,"/əˈdæpt/"
adaptability,"/ədæptəˈbɪlɪti/"
adaptable,"/əˈdæptəbəl/"
adaptation,"/ˌædæpˈteɪʃən/"
adapted,"/əˈdæptɪd/"
adapter,"/əˈdaptə/"
adaptive,"/əˈdæp.tɪv/"
add,"/æd/"
added,"[ˈad.əd]"
addendum,"/əˈdɛndəm/"
addict,"/ˈæ.dɪkt/"
addicted,"/əˈdɪktɪd/"
addiction,"/əˈdɪkʃən/"
addictive,"/əˈdɪktɪv/"
adding,"/ˈæ.dɪŋ/"
addition,"/æˈdɪʃən/"
additional,"/əˈdɪʃənəl/"
additions,"/əˈdɪʃənz/"
additive,"/ˈæ.dɪ.tɪv/"
addle,"/ˈæ.dəl/"
addled,"/ˈæ.dəld/"
addles,"/ˈæd.əlz/"
address,"/æˈdɹɛs/"
addressed,"/əˈdɹɛst/"
addresses,"/əˈdɹɛsɪz/"
addressing,"/əˈdɹɛsɪŋ/"
adds,"/ædz/"
adduce,"/əˈdjuːs/"
adenine,"/ˈæ.dəˌniːn/"
adenoma,"/æd ˈənoʊ mʌ/"
adept,"/əˈdɛpt/"
adepts,"/ˈæd.ɛpts/"
adhere,"/ædˈhiɹ/"
adherent,"/ædˈ(h)ɪəɹənt/"
adhesive,"/ædˈhi.sɪv/"
adiabatic,"/ˌeɪdaɪəˈbætɪk/"
adieu,"/əˈdjuː/"
adieux,"/əˈdjuː/"
adios,"/ˌæ.diˈɒs/"
adipose,"/ˈæd.ɪ.pəʊs/"
adit,"/ˈæ.dɪt/"
adjectival,"/ˌæ.dʒɛkˈtaɪ.vəl/"
adjective,"/ˈæ.d͡ʒə(k).tɪv/"
adjoin,"/əˈdʒɔɪn/"
adjoined,"/əˈdʒɔɪnd/"
adjoining,"/ʌˈd͡ʒɔɪn.ɪŋ/"
adjoins,"/əˈdʒɔɪnz/"
adjourn,"/əˈdʒɜːn/"
adjudge,"/əˈdʒʌdʒ/"
adjudicate,"/əˈdʒudɪˌkeɪt/"
adjudication,"/ə(d)ˌd͡ʒu.dɪˈkeɪ.ʃən/"
adjudicator,"/æ.dʒu.dɪˈkeɪ.tɔɹ/"
adjudicators,"/æ.dʒu.dɪˈkeɪ.tɔɹz/"
adjunct,"/ˈædʒ.ʌŋkt/"
adjure,"/ədˈdʒɔː/"
adjust,"/əˈdʒʌst/"
adjusted,"/əˈdʒʌstɪd/"
adjusting,"/əˈdʒʌstɪŋ/"
adjustment,"/əˈdʒʌst.mənt/"
adjusts,"/əˈdʒʌsts/"
adjutant,"/ˈæ.dʒə.tənt/"
admin,"/ədˈmɪn/"
administer,"/ədˈmɪnɪstɚ/"
administration,"/ədˌmɪnəˈstɹeɪʃən/"
administrative,"/ədˈmɪ.nɪs.tɹəˌtɪv/"
administrator,"/ədˈmɪnɪstɹeɪtə/"
admirable,"/ˈæd.məɹ.ə.bəl/"
admirably,"/ˈæd.mɪɹ.əˌbli/"
admiral,"/ˈæd.mə.ɹəl/"
admiration,"/ˌæd.mɚˈeɪʃ.ən/"
admire,"/ədˈmaɪə/"
admired,"/ədˈmaɪəd/"
admirer,"/ədˈmaɪ.ɹɚ/"
admirers,"/əd.ˈmaɪ.ɹɚz/"
admiring,"/æd.ˈmaɪ.ɚ.ɪŋ/"
admission,"/ædˈmɪʃ.ən/"
admit,"/ədˈmɪt/"
admits,"/ədˈmɪts/"
admittance,"/ədˈmɪt.n̩s/"
admitted,"/ədˈmɪtɪd/"
admitting,"/ədˈmɪtɪŋ/"
admixture,"/ædˈmɪkstʃə(ɹ)/"
admonish,"/ədˈmɒn.ɪʃ/"
ado,"/əˈduː/"
adobe,"/əˈdəʊ.bi/"
adolescence,"/ˌædəˈlɛsəns/"
adolescent,"/ˌædəˈlɛsənt/"
adopt,"/əˈdɒpt/"
adopted,"/əˈdɒptɪd/"
adoption,"/əˈdɒp.ʃən/"
adorable,"/əˈdɔːɹəbəl/"
adorably,"/əˈdɔɹəbli/"
adoration,"/ˌæ.dəˈɹeɪ.ʃən/"
adore,"/əˈdɔː/"
adored,"/əˈdɔːd/"
adorn,"/əˈdɔː(ɹ)n/"
adorned,"/əˈdɔːnd/"
adrenal,"/æˈdɹiːnəl/"
adrenaline,"/əˈdɹɛnəlɪn/"
adrift,"/əˈdɹɪft/"
adroit,"/əˈdɹɔɪt/"
adsorb,"/ədˈsɔːb/"
adulation,"/ˌædjʊˈleɪʃən/"
adult,"/əˈdʌlt/"
adulterer,"/əˈdʌltəɹə/"
adultery,"/əˈdʌltəɹi/"
adults,"/ˈædʌlts/"
adumbrate,"/ˈædʌmˌbɹeɪt/"
advance,"/ədˈvaːns/"
advanced,"/ədˈvɑːnst/"
advancement,"/ædˈvæns.mɛnt/"
advancing,"/ədˈvɑːnsɪŋ/"
advantage,"/ədˈvɑːn.tɪdʒ/"
advantageous,"/ˌædvənˈteɪd͡ʒəs/"
advantages,"/əd.ˈvɑːn.tɪ.dʒɪz/"
advent,"/ˈæd.vənt/"
adventure,"/ædˈvɛnt͡ʃɚ/"
adventurer,"/ædˈvɛn.tʃɚ.ɚ/"
adventures,"/ædˈvɛnt͡ʃɚz/"
adventurism,"/ədˈvɛn(t)ʃəɹɪz(ə)m/"
adventurous,"/ædˈvɛn.tʃɚ.ʌs/"
adverb,"/ˈæd.vɜːb/"
adverbial,"/ədˈvɜːbi.əl/"
adversary,"/ædˈvɜː.sə.ɹi/"
adverse,"/ədˈvɜ(ɹ)s/"
advert,"/ˈædvɜː(ɹ)t/"
advert,"/ədˈvɜː(ɹ)t/"
advertise,"/ˈadvə(ɹ)taɪz/"
advertisement,"/ədˈvɜːtɪsmənt/"
advertising,"/ˈædvə(ɹ)ˌtaɪzɪŋ/"
advice,"/ədˈvaɪs/"
advisability,"/ædˌvaɪz.əˈbɪl.ə.ti/"
advise,"/ədˈvaɪz/"
advised,"/ədˈvaɪzd/"
adviser,"/ædˈvaɪz.ɚ/"
advisory,"/ədˈvaɪzəɹi/"
advocacy,"/ˈæd.və.kə.si/"
advocate,"/ˈæd.və.keɪt/"
advocates,"/ˈæd.və.keɪts/"
adze,"/ædz/"
aegis,"/ˈiːdʒɪs/"
aerial,"/ˈɛː.ɹi.əl/"
aerobic,"/əˈɹoʊbɪk/"
aerobics,"/əˈɹoʊbɪks/"
aerofoil,"/ˈɛəɹ.əˌfɔɪl/"
aeronaut,"/ˈɛəɹəˌnɔːt/"
aeronautic,"/ˌæɹoˈnɔtɪk/"
aeroplane,"/ˈeə.ɹə.pleɪn/"
aeroplanes,"/ˈeə.ɹə.pleɪnz/"
aerosol,"/ˈɛəɹəsɒl/"
aesthete,"/ˈɛs.θiːt/"
aesthetic,"/iːs.ˈθe.tɪk/"
afar,"/əˈfɑː/"
affair,"/əˈfɛə/"
affairs,"/əˈfɛəz/"
affect,"/əˈfɛkt/"
affect,"/ˈæ.fɛkt/"
affected,"/əˈfɛktɪd/"
affecting,"/əˈfɛktɪŋ/"
affection,"/əˈfɛkʃən/"
affectionate,"/əˈfɛkʃənət/"
affectionate,"/əˈfɛkʃəneɪt/"
affectionately,"/əˈfɛkʃənətli/"
affections,"/əˈfɛkʃənz/"
affective,"/əˈfɛktɪv/"
afferent,"/ˈæ.fə.rənt/"
affidavit,"/ˌæfɪˈdeɪvɪt/"
affiliate,"/əˈfɪl.i.et/"
affiliation,"/əˌfɪliˈeɪʃən/"
affine,"/əˈfaɪn/"
affinity,"/əˈfɪnɪti/"
affirm,"/əˈfɜːm/"
affirmation,"/æfɝˈmeɪʃn/"
affirmative,"/əˈfɜːmətɪv/"
afflict,"/əˈflɪkt/"
afflicted,"/əˈflɪktɪd/"
affliction,"/əˈflɪkʃən/"
affluence,"/ˈæf.lu.əns/"
affluent,"/ˈæf.lu.ənt/"
afford,"/əˈfɔːd/"
affordable,"/əˈfɔː(ɹ).də.bəl/"
afforded,"/əˈfɔːdɪd/"
affords,"/əˈfɔːdz/"
affray,"/əˈfɹeɪ/"
affront,"/əˈfɹʌnt/"
afghani,"/æfˈɡɑːni/"
afield,"/əˈfiːld/"
afire,"/əˈfaɪə(ɹ)/"
aflame,"/əˈfleɪm/"
afloat,"/əˈfloʊt/"
afoot,"/əˈfʊt/"
aforementioned,"/əˈfɔːˌmɛn.ʃənd/"
aforesaid,"/əˈfɔɹsɛd/"
afraid,"/əˈfɹeɪd/"
afresh,"/ʌˈfɹɛʃ/"
afro,"/ˈæf.ɹoʊ/"
afros,"/ˈæfɹoʊz/"
aft,"/æft/"
after,"/ˈæf.tə(ɹ)/"
afterbirth,"/ˈæf.tɚ.bɚθ/"
aftercare,"/ˈæf.tə(ɹ).kɛə/"
aftereffect,"/ˈɑːftəɹ.ɪˌfɛkt/"
afterlife,"/ˈæftɚˌlaɪf/"
aftermath,"/ˈæf.təˌmæθ/"
afternoon,"/af.təɾˈnʉːn/"
afterthought,"/ˈæft.ɚ.θɔt/"
afterward,"/ˈɑːftə.wəd/"
afterwards,"/ˈɑːftə.wədz/"
again,"/əˈɡeɪn/"
against,"/əˈɡeɪnst/"
agape,"/ɑˈɡɑː.peɪ/"
agar,"/ˈeɪ.ɡɑː/"
agave,"/əˈɡeɪviː/"
age,"/eɪd͡ʒ/"
aged,"/eɪdʒd/"
ageism,"/ˈeɪdʒ.ɪz.əm̩/"
agency,"/ˈeɪ.dʒən.si/"
agenda,"/əˈdʒɛn.də/"
agent,"/ˈeɪ.dʒənt/"
agents,"/ˈeɪ.dʒənts/"
ages,"/ˈeɪ.dʒɪz/"
agglutinative,"/əˈɡluːtɪnətɪv/"
aggravate,"/ˈæɡ.ɹə.veɪ̯t/"
aggregation,"/æɡɹəˈɡeɪʃən/"
aggression,"/əˈɡɹɛʃən/"
aggressive,"/əˈɡɹɛs.ɪv/"
aghast,"/əˈɡɑːst/"
agile,"/ˈæd͡ʒ.aɪl/"
agility,"/əˈdʒɪl.ə.ti/"
aging,"/ˈeɪ.dʒɪŋ/"
agio,"/ˈæ.dʒiˌoʊ/"
agitate,"/ˈæ.dʒɪ.teɪt/"
agitated,"/ˈæd͡ʒɪteɪtɪd/"
agitation,"/ad͡ʒɪˈteɪʃ(ə)n/"
agitprop,"/ˈædʒɪtpɹɒp/"
agleam,"/əˈɡliːm/"
aglow,"/əˈɡloʊ/"
ago,"/əˈɡəʊ/"
agog,"/əˈɡɒɡ/"
agonies,"/ˈæ.ɡə.niːz/"
agony,"/ˈæ.ɡə.niː/"
agora,"/ˈæ.ɡə.ɹə/"
agora,"/ˌæɡ.əˈɹɑː/"
agoraphobia,"/əˌɡɔːɹəˈfoʊ̯bi.ə/"
agouti,"/əˈɡuːti/"
agrarian,"/əˈɡɹɛ(ə)ɹi.ən/"
agree,"/əˈɡɹi/"
agreeable,"/əˈɡɹiːəbl/"
agreed,"/ə.ɡɹi.ːd/"
agreement,"/əˈɡɹiːmənt/"
agrees,"/əˈɡɹiːz/"
agribusiness,"/-nɪs/"
agricultural,"/ˌæɡɹɪˈkʌltjʊəɹəl/"
agriculture,"/ˈæɡɹɪˌkʌltʃə/"
agrimony,"/ˈæɡ.ɹɪ.mən.i/"
agronomist,"/əˈɡɹɒnəmɪst/"
agronomy,"/əˈɡɹɒnəmi/"
aground,"/əˈɡɹaʊnd/"
ague,"/ˈeɪ.ɡju/"
ah,"/ɑː/"
aha,"/ɑːhɑː/"
ahead,"/əˈhɛd/"
ahem,"/əˈhɛm/"
aid,"/eɪd/"
aide,"/eɪd/"
aided,"/ˈeɪ.dɪd/"
aides,"/eɪdz/"
aiding,"/ˈeɪ.dɪŋ/"
aids,"/eɪdz/"
ail,"/eɪl/"
aileron,"/ˈeɪlərɒn/"
ailing,"/ˈeɪ.lɪŋ/"
ailment,"/ˈeɪlmənt/"
ails,"/eɪlz/"
aim,"/eɪm/"
aimed,"/eɪmd/"
aiming,"/ˈeɪ.mɪŋ/"
aimless,"/ˈeɪm.ləs/"
aimlessly,"/ˈeɪmləsli/"
aims,"/eɪmz/"
air,"/ˈɛə/"
aircraft,"/ɛə.kɹɑːft/"
airframe,"/ˈɛɹ.fɹe(ɪ)m/"
airily,"/ˈeɹ.ə.li/"
airing,"/ˈɛəɹɪŋ/"
airless,"/eə(ɹ).ləs/"
airlift,"/ˈɛə.lɪft/"
airmail,"/ˈɛə.meɪl/"
airman,"/ˈer.mən/"
airplane,"/ˈɛəpleɪn/"
airport,"/ˈɛə.pɔːt/"
airports,"/ˈɛə.pɔːts/"
airs,"/ɛə(ɹ)z/"
airy,"/ˈɛəɹ.i/"
aisle,"/aɪ̯l/"
aisles,"/aɪlz/"
akimbo,"/əˈkɪm.bəʊ/"
akin,"/əˈkɪn/"
alack,"/əˈlæk/"
alacrity,"[əˈlækɹɨti]"
alarm,"/əˈlɑːm/"
alarmed,"/əˈlɑːmd/"
alarming,"/ə.ˈlɑːm.ɪŋ/"
alarmingly,"/ə.ˈlɑːm.ɪŋ.li/"
alarmist,"/əˈlɑɹmɪst/"
alb,/alb/
albatross,"/ˈæl.bəˌtɹɑs/"
albeit,"/ɔːlˈbiː.ɪt/"
albinism,"/ˈælbəˌnɪzəm/"
albino,"/alˈbiːnoː/"
